viagem_id,companhia_aerea,rota,tarifa_base,taxa_remarcacao,taxa_cancelamento,valor_aereo_realizado,antecedencia_dias,remarcada,cancelada
T000001,Azul,Salvador - São Paulo,1311.31,0.0,0.0,1311.31,2,False,False
T000002,LATAM,Salvador - Brasília,610.61,0.0,0.0,610.61,23,False,False
T000003,LATAM,Salvador - Brasília,1165.69,0.0,0.0,1165.69,4,False,False
T000004,LATAM,Salvador - Brasília,1396.27,0.0,0.0,1396.27,1,False,False
T000005,LATAM,Salvador - Rio de Janeiro,733.87,0.0,0.0,733.87,20,False,False
T000006,GOL,Salvador - Brasília,763.74,0.0,0.0,763.74,34,False,False
T000007,GOL,Salvador - Campinas,828.52,0.0,0.0,828.52,12,False,False
T000008,GOL,Salvador - Fortaleza,796.33,0.0,0.0,796.33,2,False,False
T000009,GOL,Salvador - Rio de Janeiro,1482.04,420.74,0.0,1902.77,2,True,False
T000010,GOL,Salvador - Fortaleza,1523.86,0.0,0.0,1523.86,0,False,False
T000011,LATAM,Salvador - Recife,647.83,0.0,0.0,647.83,7,False,False
T000012,GOL,Salvador - Curitiba,1145.91,0.0,0.0,1145.91,17,False,False
T000013,LATAM,Salvador - São Paulo,1637.84,507.95,0.0,2145.78,1,True,False
T000015,LATAM,Salvador - Porto Alegre,2385.41,0.0,0.0,2385.41,1,False,False
T000017,GOL,Salvador - Brasília,1167.19,0.0,0.0,1167.19,5,False,False
T000018,LATAM,Salvador - Manaus,1049.44,0.0,0.0,1049.44,27,False,False
T000019,GOL,Salvador - Rio de Janeiro,704.15,0.0,0.0,704.15,16,False,False
T000020,LATAM,Salvador - São Paulo,834.04,0.0,0.0,834.04,37,False,False
T000021,LATAM,Salvador - São Paulo,1156.78,0.0,0.0,1156.78,2,False,False
T000022,LATAM,Salvador - São Paulo,1716.16,0.0,0.0,1716.16,0,False,False
T000023,GOL,Salvador - Campinas,961.09,0.0,0.0,961.09,11,False,False
T000024,GOL,Salvador - Porto Alegre,1658.84,0.0,0.0,1658.84,3,False,False
T000025,LATAM,Salvador - Rio de Janeiro,1763.78,0.0,0.0,1763.78,0,False,False
T000027,Azul,Salvador - Curitiba,1007.04,205.09,0.0,1212.13,24,True,False
T000028,LATAM,Salvador - São Paulo,1251.7,0.0,0.0,1251.7,0,False,False
T000029,LATAM,Salvador - Belo Horizonte,969.76,0.0,0.0,969.76,5,False,False
T000030,Azul,Salvador - Campinas,860.94,0.0,0.0,860.94,35,False,False
T000031,LATAM,Salvador - Brasília,1444.83,302.66,0.0,1747.49,1,True,False
T000032,LATAM,Salvador - Brasília,1039.15,0.0,0.0,1039.15,34,False,False
T000033,Azul,Salvador - São Paulo,1277.1,0.0,0.0,1277.1,4,False,False
T000034,LATAM,Salvador - Rio de Janeiro,854.79,0.0,0.0,854.79,13,False,False
T000035,GOL,Salvador - Belo Horizonte,1320.39,206.98,0.0,1527.37,6,True,False
T000037,GOL,Salvador - Brasília,1079.13,0.0,0.0,1079.13,19,False,False
T000038,LATAM,Salvador - São Paulo,1070.9,0.0,241.17,241.17,11,False,True
T000039,LATAM,Salvador - São Paulo,1283.29,0.0,0.0,1283.29,0,False,False
T000040,LATAM,Salvador - Brasília,1215.47,0.0,0.0,1215.47,3,False,False
T000041,GOL,Salvador - São Paulo,1043.62,0.0,0.0,1043.62,18,False,False
T000042,Gol Linhas Aéreas,Salvador - São Paulo,1257.25,0.0,0.0,1257.25,3,False,False
T000043,GOL,Salvador - Belo Horizonte,691.94,0.0,0.0,691.94,17,False,False
T000044,LATAM,Salvador - Belo Horizonte,1168.5,0.0,0.0,1168.5,4,False,False
T000045,Azul,Salvador - Rio de Janeiro,535.99,0.0,0.0,535.99,15,False,False
T000046,LATAM,Salvador - Porto Alegre,1885.41,284.39,0.0,2169.81,0,True,False
T000047,GOL,Salvador - Belo Horizonte,771.64,0.0,0.0,771.64,14,False,False
T000048,GOL,Salvador - Campinas,893.54,0.0,0.0,893.54,19,False,False
T000049,GOL,Salvador - Fortaleza,571.45,0.0,0.0,571.45,28,False,False
T000050,GOL,Salvador - São Paulo,1288.29,0.0,0.0,1288.29,8,False,False
T000051,GOL,Salvador - São Paulo,2026.46,0.0,0.0,2026.46,1,False,False
T000052,GOL,Salvador - Curitiba,900.72,0.0,0.0,900.72,31,False,False
T000053,GOL,Salvador - Brasília,715.42,157.57,0.0,872.99,24,True,False
T000054,GOL,Salvador - Vitória da Conquista,798.21,0.0,0.0,798.21,2,False,False
T000055,Azul,Salvador - Porto Alegre,869.9,0.0,0.0,869.9,24,False,False
T000056,Azul,Salvador - Manaus,2321.53,0.0,0.0,2321.53,6,False,False
T000057,GOL,Salvador - Rio de Janeiro,1091.0,164.33,0.0,1255.33,20,True,False
T000058,Azul,Salvador - Campinas,1261.21,0.0,0.0,1261.21,15,False,False
