despesa_id,viagem_id,categoria,valor,data_despesa,reembolsavel
E0000001,T000001,Alimentação,303.87,2025-09-22,True
E0000002,T000001,Transporte terrestre,380.06,2025-09-22,True
E0000003,T000001,Ajuste de reembolso,8.01,2025-10-05,False
E0000004,T000002,Alimentação,216.46,2025-01-21,True
E0000005,T000002,Transporte terrestre,131.7,2025-01-21,True
E0000006,T000002,Ajuste de reembolso,-10.37,2025-01-24,False
E0000007,T000003,Alimentação,362.39,2025-03-11,True
E0000008,T000003,Transporte terrestre,210.17,2025-03-11,True
E0000009,T000003,Taxa,244.14,2025-03-11,True
E0000010,T000003,Ajuste de reembolso,4.84,2025-03-23,False
E0000011,T000004,Alimentação,225.25,2025-12-20,True
E0000012,T000004,Transporte terrestre,138.59,2025-12-20,True
E0000013,T000004,Ajuste de reembolso,-15.63,2026-01-04,False
E0000014,T000005,Alimentação,285.73,2024-04-28,True
E0000015,T000005,Transporte terrestre,177.26,2024-04-28,True
E0000016,T000005,Ajuste de reembolso,37.48,2024-05-06,False
E0000017,T000006,Alimentação,432.16,2024-08-12,True
E0000018,T000006,Transporte terrestre,283.84,2024-08-12,True
E0000019,T000006,Ajuste de reembolso,23.43,2024-08-24,False
E0000020,T000007,Alimentação,334.72,2025-06-12,True
E0000021,T000007,Transporte terrestre,251.77,2025-06-12,True
E0000022,T000007,Ajuste de reembolso,30.32,2025-06-23,False
E0000023,T000008,Alimentação,339.84,2024-03-25,True
E0000024,T000008,Transporte terrestre,190.48,2024-03-25,True
E0000025,T000008,Ajuste de reembolso,10.36,2024-04-02,False
E0000026,T000009,Alimentação,270.68,2025-08-25,True
E0000027,T000009,Transporte terrestre,299.4,2025-08-25,True
E0000028,T000009,Ajuste de reembolso,40.82,2025-09-01,False
E0000029,T000010,Alimentação,291.51,2024-11-25,True
E0000030,T000010,Transporte terrestre,124.16,2024-11-25,True
E0000031,T000010,Ajuste de reembolso,23.33,2024-12-07,False
E0000032,T000011,Alimentação,221.53,2025-08-01,True
E0000033,T000011,Transporte terrestre,151.99,2025-08-01,True
E0000034,T000011,Ajuste de reembolso,-6.63,2025-08-12,False
E0000035,T000012,Alimentação,428.41,2025-05-16,True
E0000036,T000012,Transporte terrestre,181.14,2025-05-16,True
E0000037,T000012,Ajuste de reembolso,33.53,2025-05-29,False
E0000038,T000013,Alimentação,178.8,2024-11-13,True
E0000039,T000013,Transporte terrestre,133.84,2024-11-13,True
E0000040,T000013,Ajuste de reembolso,21.62,2024-11-17,False
E0000041,T000014,Alimentação,313.58,2024-12-23,True
E0000042,T000014,Transporte terrestre,157.67,2024-12-23,True
E0000043,T000014,Ajuste de reembolso,-19.23,2025-01-14,False
E0000044,T000015,Alimentação,109.35,2025-01-20,True
E0000045,T000015,Transporte terrestre,69.18,2025-01-20,True
E0000046,T000015,Ajuste de reembolso,31.97,2025-02-03,False
E0000047,T000016,Alimentação,52.24,2024-10-12,True
E0000048,T000016,Transporte terrestre,61.52,2024-10-12,True
E0000049,T000016,Ajuste de reembolso,8.03,2024-10-18,False
E0000050,T000017,Alimentação,484.53,2025-08-26,True
E0000051,T000017,Transporte terrestre,216.92,2025-08-26,True
E0000052,T000017,Ajuste de reembolso,12.29,2025-09-03,False
E0000053,T000018,Alimentação,189.33,2024-11-29,True
E0000054,T000018,Transporte terrestre,105.95,2024-11-29,True
E0000055,T000018,Ajuste de reembolso,26.86,2024-12-10,False
E0000056,T000019,Alimentação,201.04,2025-10-12,True
E0000057,T000019,Transporte terrestre,206.88,2025-10-12,True
E0000058,T000019,Ajuste de reembolso,-9.23,2025-10-20,False
E0000059,T000020,Alimentação,202.8,2025-10-05,True
E0000060,T000020,Transporte terrestre,205.19,2025-10-05,True
E0000061,T000020,Taxa,219.75,2025-10-05,True
E0000062,T000020,Ajuste de reembolso,10.98,2025-10-12,False
E0000063,T000021,Alimentação,154.55,2024-03-27,True
E0000064,T000021,Transporte terrestre,193.96,2024-03-27,True
E0000065,T000021,Ajuste de reembolso,-20.71,2024-04-14,False
E0000066,T000022,Alimentação,888.35,2024-09-02,True
E0000067,T000022,Transporte terrestre,792.01,2024-09-02,True
E0000068,T000022,Ajuste de reembolso,6.59,2024-09-23,False
E0000069,T000023,Alimentação,176.69,2025-04-23,True
E0000070,T000023,Transporte terrestre,136.29,2025-04-23,True
E0000071,T000023,Ajuste de reembolso,40.77,2025-05-05,False
E0000072,T000024,Alimentação,228.93,2024-11-22,True
E0000073,T000024,Transporte terrestre,163.48,2024-11-22,True
E0000074,T000024,Ajuste de reembolso,-13.67,2024-12-01,False
E0000075,T000025,Alimentação,292.72,2025-02-14,True
E0000076,T000025,Transporte terrestre,201.49,2025-02-14,True
