viagem_id,hotel,cidade,diarias,valor_diaria,valor_hospedagem_realizado,fora_politica_hotel
T000001,Transamerica,São Paulo,3,423.09,1269.28,False
T000002,Hotel Local,Brasília,2,299.12,598.24,False
T000003,Hotel Local,Brasília,4,347.48,1389.92,False
T000004,Transamerica,Brasília,2,429.63,859.26,True
T000005,Hotel Local,Rio de Janeiro,1,288.63,288.63,False
T000006,Accor,Brasília,3,352.48,1057.45,False
T000007,Accor,Campinas,3,362.06,1086.17,False
T000008,Rede Nacional,Fortaleza,3,369.79,1109.38,False
T000009,Intercity,Rio de Janeiro,2,339.39,678.79,False
T000010,Hotel Local,Fortaleza,1,335.22,335.22,False
T000011,Rede Nacional,Recife,2,367.89,735.78,True
T000012,Rede Nacional,Curitiba,3,203.27,609.81,False
T000013,Intercity,São Paulo,1,370.34,370.34,False
T000014,Hotel Local,Feira de Santana,2,157.59,315.19,False
T000017,Hotel Local,Brasília,3,378.64,1135.93,False
T000018,Accor,Manaus,1,293.03,293.03,False
T000019,Accor,Rio de Janeiro,2,489.25,978.49,True
T000020,Rede Nacional,São Paulo,1,263.81,263.81,False
T000021,Hotel Local,São Paulo,1,354.14,354.14,False
T000022,Hotel Local,São Paulo,7,399.66,2797.63,False
T000023,Hotel Local,Campinas,1,267.54,267.54,False
T000024,Accor,Porto Alegre,2,289.78,579.57,False
T000025,Rede Nacional,Rio de Janeiro,2,353.13,706.27,False
T000027,Transamerica,Curitiba,6,378.73,2272.38,True
T000029,Intercity,Belo Horizonte,4,253.65,1014.58,False
T000030,Accor,Campinas,4,308.38,1233.51,False
T000031,Hotel Local,Brasília,1,250.85,250.85,False
T000032,Intercity,Brasília,2,325.14,650.27,False
T000033,Accor,São Paulo,3,483.18,1449.53,False
T000034,Transamerica,Rio de Janeiro,1,430.41,430.41,True
T000035,Accor,Belo Horizonte,2,245.64,491.27,False
T000036,Hotel Local,Aracaju,2,230.45,460.9,False
T000037,Rede Nacional,Brasília,2,569.71,1139.43,True
